scholarship_name,provider,description,url,contact_email,application_fee,amount,label
Kotak Education Foundation Scholarship,Kotak Education Foundation,Scholarship for students from economically challenged backgrounds to pursue higher education. Focus on students from Maharashtra. Merit and means based selection. Online application accepted.,https://kotakeducation.org,info@kotakeducation.org,No fee,Up to 60000 per year,REAL
Wipro Cares Scholarship,Wipro Foundation,Need based scholarship for students from underprivileged communities pursuing higher education. Application through official Wipro Cares portal. Selection committee reviews applications. No middlemen.,https://wipro.com/sustainability,wiprocares@wipro.com,None,15000 to 30000 per year,REAL
Maruti Suzuki Scholarship,Maruti Suzuki India Limited,Scholarship for students pursuing diploma in automobile engineering and related technical courses. Merit based selection. Provides financial support and industry exposure opportunity. No registration fee required.,https://marutisuzuki.com/corporate/csr,scholarship@maruti.co.in,Free,12000 per year,REAL
Canara Bank Vidya Sahay Scholarship,Canara Bank,Financial assistance to meritorious students from economically weaker sections for pursuing higher education. Interest free support for deserving candidates. Apply at bank branches or online portal.,https://canarabank.com/scholarship,scholarship@canarabank.in,No fee,Varies,REAL
SBI Youth for India Fellowship,State Bank of India Foundation,Fellowship for graduates to work with NGOs in rural India. Stipend provided. Prestigious program with transparency and clear selection criteria. No payment required at any stage.,https://sbiyouthforindia.org,apply@sbiyouthforindia.org,None,15000 per month,REAL
ONGC Scholarship,Oil and Natural Gas Corporation,Scholarship for SC ST students pursuing graduation in engineering medical and MBA. Merit based selection. Income limit 1.5 lakh per annum. Apply through official ONGC portal. No processing fee.,https://ongcindia.com/scholarship,scholarship@ongc.co.in,Free,48000 per year,REAL
Nabard Rural Scholarship,National Bank for Agriculture and Rural Development,Scholarship for students from rural areas pursuing higher education. Focus on agriculture and related fields. Merit and need based selection. Apply online through NABARD website.,https://nabard.org/scholarship,scholarship@nabard.org,None,15000 to 25000 per year,REAL
URGENT International Student Grant 2025 Claim Now,Global Education Trust Unverified,CONGRATULATIONS You have been SELECTED for a 50000 dollar international scholarship! This is a GUARANTEED scholarship for all students. ACT NOW limited slots available! Send a processing fee of 200 dollars via Western Union to claim your award. No need for academic records. 100 percent approval guaranteed. Contact us immediately!,,grant.claim2025@gmail.com,200 dollars processing fee,50000 dollars,FAKE
Secret Government Scholarship Only 10 Seats,Undisclosed Ministry Source,A SECRET government scholarship that most students dont know about! INSTANT APPROVAL for all applicants. Just pay 1500 rupees registration fee to unlock your scholarship. No income limit no marks criteria. Wire transfer payment only. WhatsApp us immediately to secure your spot before it expires!,,secretscholarship88@yahoo.com,1500 rupees registration,500000 rupees,FAKE
Free Money for Students No Essay Required,Anonymous Benefactor Fund,We are giving away FREE MONEY to students! No essay no interview no documents needed. Just submit your bank account details and Aadhaar number to receive 200000 rupees directly. Offer expires in 24 hours. Send personal details to claim immediately. This exclusive offer is only for students who act fast!,,freeStudentMoney@hotmail.com,500 admin fee,200000 rupees,FAKE
Microsoft Student Excellence Award Apply Today,Microsoft India Welfare Trust FAKE,Microsoft is offering 100000 rupees scholarships to all engineering students! You are pre-selected based on your LinkedIn profile. Pay 999 rupees verification fee to receive your scholarship certificate and award amount. Hurry this offer is for 48 hours only. Click the link and transfer the fee now.,http://microsoft-scholarship-india.blogspot.com,microsoftscholarship.india@gmail.com,999 rupees verification fee,100000 rupees,FAKE
UN World Student Scholarship Guaranteed Selection,United Nations Youth Fund Unofficial,The United Nations is offering scholarships to ALL students worldwide! 100 percent guaranteed selection regardless of your academic background. Only requirement send 150 dollars processing fee via MoneyGram within 24 hours. Your scholarship certificate will be emailed immediately after payment. Limited time offer!,,un.scholarship2025@outlook.com,150 dollars via MoneyGram,20000 dollars,FAKE
Easy Student Loan Scholarship Earn While You Study,EasyFunds International,This exclusive scholarship converts to a no-interest loan if you dont qualify. GUARANTEED money in 2 days! Just provide your bank account number IFSC code and send 2000 rupees as security deposit. 100 percent refundable. Act now this offer expires tonight! WhatsApp only.,http://easyfunds-scholarship.tk,easyfunds.apply@gmail.com,2000 rupees security deposit,75000 rupees,FAKE
Oxford University Scholarship for Indian Students Apply Now,Oxford Alumni India Network SCAM,EXCLUSIVE opportunity for Indian students to study at Oxford for FREE! Selected by our secret committee. Pay 5000 rupees processing and documentation fee immediately. No IELTS or academic requirement. Visa assistance included. Send fee via Paytm or bank transfer. Offer valid for 12 hours only.,http://oxford-india-scholarship.weebly.com,oxford.scholarship.india@gmail.com,5000 rupees documentation,Full tuition waiver,FAKE
COVID Relief Scholarship All Students Eligible,COVID Relief Education Fund,Special COVID-19 relief scholarship for all students affected by pandemic. Get 50000 rupees instantly! Just verify your identity by sharing Aadhaar and bank OTP. Funds transferred within 1 hour of verification. This is a one-time offer from a private benefactor. Dont miss it!,,covidrelief.scholarship@gmail.com,None but OTP required,50000 rupees,FAKE
Amazon Scholarship Foundation Grant 2025,Amazon India Charity UNOFFICIAL,Amazon India is giving scholarships to underprivileged students. You have been randomly selected! Pay 1200 rupees to receive a gift card worth 100000 rupees and scholarship certificate. This is a limited offer. Send payment via PhonePe to the provided number immediately. Do not share this with others exclusive invitation only.,,amazon.scholarship.grants@gmail.com,1200 rupees via PhonePe,100000 rupees,FAKE
Canada PR Scholarship Free Immigration Plus Study,Canadian Education Consultants FRAUD,Study and get PR in Canada absolutely FREE! We guarantee admission to top Canadian universities with full scholarship. No IELTS required. Pay 15000 rupees application processing fee. 100 percent visa success rate. Send your passport copy and fee immediately. Only 5 seats left respond urgently!,http://canada-pr-scholarship.wix.com,canadapr.scholarship@yahoo.com,15000 rupees processing,Full scholarship plus PR,FAKE
WhatsApp Scholarship Alert Instant Approval,Unknown Private Foundation,Get instant scholarship approval on WhatsApp! No documents needed. Just forward this message to 10 contacts and pay 500 rupees activation fee. You will receive 25000 rupees scholarship directly. Limited time offer expires soon. Act now before offer closes!,,whatsapp.scholarship@gmail.com,500 rupees activation fee,25000 rupees,FAKE
Lottery Education Scholarship You Have Won,Education Lottery Trust,Congratulations! Your phone number was selected in our education lottery. You have won a full scholarship worth 200000 rupees. Pay 3000 rupees processing tax to receive your scholarship. Wire transfer accepted. Lottery results valid for 48 hours only. Claim now!,,educationlottery.claim@hotmail.com,3000 rupees processing tax,200000 rupees,FAKE
Google Student Innovation Grant URGENT,Google India Unofficial,Google is funding student projects with 500000 rupees grants! Your project profile has been pre-selected by our AI. Pay 2500 rupees application processing fee immediately. No selection committee review needed. Guaranteed funding for all applicants. Limited to first 50 applicants only!,http://google-student-grant.blogspot.in,google.student.grant@gmail.com,2500 rupees application fee,500000 rupees,FAKE
Facebook Student Entrepreneur Scholarship,Meta Facebook Unofficial India,Facebook Meta is offering scholarships to student entrepreneurs. You have been identified as a potential recipient. Pay 1800 rupees document verification fee. No business plan required. Guaranteed selection for all applicants. Offer expires in 24 hours!,,facebook.scholarship.india@yahoo.com,1800 rupees verification,50000 rupees,FAKE
Overseas Education Scholarship No IELTS,Foreign University Admission Help FAKE,Study abroad for FREE! We have exclusive tie-ups with foreign universities. Pay 8000 rupees documentation fee and we guarantee admission with full scholarship. No IELTS TOEFL required. Visa guaranteed. Only 3 seats remaining. Contact immediately!,http://overseas-scholarship-free.webs.com,overseas.scholarship@hotmail.com,8000 rupees documentation,Full scholarship abroad,FAKE
Startup India Student Grant Guaranteed,Startup India Unofficial Scheme,Get 100000 rupees from Startup India for your student project! Pre-selected based on your college enrollment. Pay 3500 rupees registration to activate your grant. 100 percent approval. No pitch or evaluation needed. Send fee via Google Pay immediately!,,startupindia.grant@gmail.com,3500 rupees activation,100000 rupees,FAKE
RBI Student Financial Aid Scheme,Reserve Bank of India Fake,RBI is offering financial aid to students. You are eligible for 30000 rupees. Pay 1000 rupees processing fee to your local RBI agent. Funds will be credited within 2 business days. Limited availability. WhatsApp our agent for quick processing!,,rbi.student.aid@gmail.com,1000 rupees to agent,30000 rupees,FAKE
Harvard Online Scholarship for India Students,Harvard India Partnership FAKE,Harvard University is offering 100 online scholarships for Indian students! Pay only 4000 rupees application fee. No GRE GMAT required. 100 percent admission success guaranteed. Offer valid for 48 hours. Send fee via NEFT and receive admission letter immediately.,,harvard.india.scholarship@outlook.com,4000 rupees application,Full Harvard scholarship,FAKE
Narendra Modi Student Yojana Scholarship,PMO India Unofficial SCAM,Prime Minister personally announced scholarship for all students scoring above 60 percent. Claim your 20000 rupees scholarship now! Just pay 500 rupees Aadhar verification fee to our official agent. Hurry only 1000 slots left. Forward to all student friends!,,modischolarship.claim@gmail.com,500 rupees Aadhaar verification,20000 rupees,FAKE
Bill Gates Foundation Student Grant India,Bill Melinda Gates Foundation FAKE,Bill Gates Foundation is awarding grants to Indian students! 500000 rupees available for any student. No merit criteria. Just share your bank details and pay 5000 rupees administrative fee. Wire transfer only. Offer expires this week! Guaranteed money.,http://bgates-foundation-india.weebly.com,billgates.foundation.india@gmail.com,5000 rupees admin fee,500000 rupees,FAKE
Easy Money Scholarship No Conditions,Private Charity Anonymous,Anonymous donor is giving away money to students with no conditions no merit no income criteria. Just pay 750 rupees platform fee and receive 50000 rupees instantly. Bank transfer available. WhatsApp for quick processing. Offer for today only!,,easymoney.scholarship@yahoo.in,750 rupees platform fee,50000 rupees,FAKE
Elon Musk Foundation Student Grant,SpaceX Tesla India Fund FAKE,Elon Musk is personally funding Indian students! You have been randomly selected to receive 200000 rupees. No application required. Pay 2000 rupees tax clearance fee to release funds. Deposit in provided bank account. Limited to 100 students!,,elonmusk.fund.india@gmail.com,2000 rupees tax clearance,200000 rupees,FAKE
World Bank Youth Education Scholarship,World Bank India FAKE,World Bank is offering scholarships through private agents in India. Pay 6000 rupees enrollment fee to our authorized representative. Guaranteed 150000 rupees scholarship. No academic requirements. Agent will visit your home. Cash payment preferred!,,worldbank.scholarship.agent@hotmail.com,6000 rupees to agent,150000 rupees,FAKE
YouTube Creator Student Scholarship,YouTube India Education FAKE,YouTube is funding student content creators with 80000 rupees scholarships! Pre-selected based on your Google account activity. Pay 1500 rupees processing fee. No channel required. 100 percent approval guaranteed. Transfer fee via UPI immediately!,,youtube.creator.scholarship@gmail.com,1500 rupees processing,80000 rupees,FAKE
Emergency Student Relief Fund COVID,Emergency Relief Fake Fund,COVID emergency relief fund for students. Receive 35000 rupees immediately! Share your Aadhaar PAN and bank OTP to verify eligibility. Funds transferred in 30 minutes. This is a genuine government initiative. Act fast limited funds available!,,emergency.relief.students@gmail.com,OTP sharing required,35000 rupees,FAKE
Work From Home Plus Scholarship,Online Earning Scholarship SCAM,Earn money while studying! Guaranteed scholarship of 40000 rupees plus work from home income. Just pay 1200 rupees registration. No qualification needed. 100 percent joining guarantee. WhatsApp our coordinator immediately for quick enrollment. Today only!,,wfh.scholarship.earn@yahoo.com,1200 rupees registration,40000 rupees plus income,FAKE
Celebrity Endorsed Student Fund,Bollywood Star Foundation FAKE,Top Bollywood celebrity is personally funding 500 students with 75000 rupees each. You have been shortlisted based on social media activity. Pay 2500 rupees processing fee via Paytm. Certificate and payment within 24 hours. Limited seats fill fast!,,celebrity.student.fund@gmail.com,2500 rupees via Paytm,75000 rupees,FAKE
TISS Social Science Scholarship,Tata Institute of Social Sciences,Scholarship for students pursuing social science and humanities at TISS Mumbai. Based on academic merit and commitment to social work. Apply through official TISS portal. No application fee. Selection through interview and statement of purpose.,https://tiss.edu/scholarships,scholarship@tiss.edu,None,20000 per year,REAL
Fulbright Nehru Master Fellowship,United States India Educational Foundation,Prestigious fellowship for Indians to pursue masters degree in the USA. Covers tuition travel living expenses and health insurance. Highly competitive merit based selection. No application fee. Apply through official USIEF portal.,https://usief.org.in/Fellowships,fulbright@usief.org.in,Free,Full funding,REAL
Commonwealth Scholarship and Fellowship,Commonwealth Scholarship Commission UK,Scholarships for students from Commonwealth countries to pursue higher education in UK. Covers airfare tuition living costs. Highly competitive application. No processing fee. Apply through national nominating agency.,https://cscuk.fcdo.gov.uk,generalenquiries@cscuk.org.uk,No fee,Full scholarship UK,REAL
Gates Cambridge Scholarship,Gates Cambridge Trust University of Cambridge,Scholarship for outstanding students from outside UK to pursue postgraduate degree at University of Cambridge. Highly merit based. No payment required. Full funding including fees maintenance and travel.,https://gatescambridge.org,info@gatescambridge.org,None,Full Cambridge funding,REAL
Inlaks Foundation Scholarship,Inlaks Shivdasani Foundation,Scholarships for exceptional young Indians to pursue higher education at leading institutions abroad. Highly competitive and prestigious. No payment at any stage. Based entirely on academic excellence and potential.,https://inlaksfoundation.org,admin@inlaksfoundation.org,No fee,Up to 100000 dollars,REAL
DST SERB National Post Doctoral Fellowship,Science and Engineering Research Board,Fellowship for young researchers to pursue independent post doctoral research at premier institutions. Stipend and research grant provided. Application through SERB portal. No fee. Peer reviewed selection process.,https://serb.gov.in/npdf,npdf@serb.gov.in,Free,55000 per month,REAL
CSIR UGC NET Fellowship,Council of Scientific Industrial Research,Junior Research Fellowship for candidates qualified in CSIR UGC NET examination. Supports research work in various science subjects. Selection purely through examination merit. Apply through official CSIR website.,https://csirhrdg.res.in,fellowship@csirhrdg.res.in,No fee,31000 to 35000 per month,REAL
Erasmus Mundus Joint Master Scholarship,European Commission,Prestigious scholarship for students from around the world to pursue joint master degrees at European universities. Full funding including tuition travel insurance and living costs. Highly competitive merit based.,https://eacea.ec.europa.eu/erasmus-plus,eacea-info@ec.europa.eu,None,Full European funding,REAL
Kishore Vaigyanik Protsahan Yojana,Indian Institute of Science,National fellowship program for students with genuine interest in science research. Written test and interview based selection. Published on official IISc website. No registration fee. Direct bank credit after selection.,https://kvpy.iisc.ac.in,kvpy@iisc.ac.in,100 SC ST free,5000 to 7000 per month,REAL
National Defense Academy Scholarship,Ministry of Defense India,Scholarship for wards of defense personnel for pursuing higher education. Documentation based selection including service records. Apply through official KSB portal. Income and service criteria apply. No processing fee.,https://ksb.gov.in/defense-scholarship,defense.scholarship@ksb.gov.in,No fee,Varies,REAL
SC ST Research Fellowship,University Grants Commission,Research fellowship exclusively for SC ST students pursuing doctoral studies. Full financial support for four years. Application through UGC portal. No fee. Selection by academic committee. Direct disbursement to bank.,https://ugc.ac.in/sc-st-fellowship,scst.fellowship@ugc.gov.in,None,25000 per month,REAL
ICSSR Doctoral Fellowship,Indian Council of Social Science Research,Fellowship for doctoral research in social sciences. Supports meritorious researchers. Apply through ICSSR portal. No registration fee. Peer reviewed selection. Renewable based on progress reports.,https://icssr.org/fellowships,fellowships@icssr.org,Free,20000 per month,REAL
Tribal Scholarship Scheme,Ministry of Tribal Affairs GoI,Scholarship for students belonging to Scheduled Tribes for pursuing higher education. Income and community certificate based eligibility. Apply on NSP portal. Funds directly credited. No intermediaries required.,https://tribal.nic.in/scholarship,tribal.scholarship@gov.in,None,5000 to 15000 per year,REAL
Hindi Scholarship Competition,Department of Official Language GoI,Scholarship for promoting use of Hindi language. For students studying through Hindi medium. Merit based selection through competition. No fee. Official government scheme. Apply through regional implementation offices.,https://rajbhasha.gov.in,rajbhasha@mha.gov.in,No fee,10000 to 25000,REAL
Handicapped Scholarship Central Government,Department of Empowerment of Persons with Disabilities,Scholarship for students with benchmark disabilities pursuing higher education. Apply through NIMH or state offices. No application fee. Documentation includes disability certificate. Merit considered.,https://disabilityaffairs.gov.in/scholarship,disability.scholarship@gov.in,None,Varies by category,REAL
Single Girl Child Scholarship UGC,University Grants Commission,PG Indira Gandhi Scholarship for Single Girl Child for pursuing higher education at postgraduate level. No sibling condition applies. Apply on UGC portal. No fee. Direct payment to bank account.,https://ugc.ac.in/single-girl-child,single.girl@ugc.gov.in,Free,36200 per year,REAL
Irrational lottery scholarship winner selected,Unknown lottery organization,You have won our student lottery! Completely random selection. No academic criteria. Pay 1500 rupees to release your prize money of 80000 rupees. Wire the fee via Western Union. Guaranteed payout within 24 hours. This is a time limited offer!,,lottery.student.prize@hotmail.com,1500 rupees release fee,80000 rupees,FAKE
Guaranteed Admission Top University Plus Money,Dream University Consultants SCAM,We guarantee admission to IIT IIM plus scholarship of 200000 rupees! No exam required. Pay 25000 rupees consultancy fee. Our agents have insider connections. Your seat is reserved. Pay now via cash or bank transfer. Only today offer!,,guaranteed.iit.iim@gmail.com,25000 rupees consultancy,200000 rupees,FAKE
PM Awaas Yojana Student Version Scholarship,PM Housing Student Scheme FAKE,New government scheme gives 50000 rupees to all students for education. Apply by sharing your Aadhaar with our agent and pay 800 rupees service charge. This is a real government notification. Limited seats for today only. Act before midnight!,,pm.awaas.student@yahoo.in,800 rupees service charge,50000 rupees,FAKE
Instant Online Scholarship Zero Criteria,EduCash Online Platform,Get instant online scholarship with zero eligibility criteria! Any student any college any marks. Pay 299 rupees to join our platform and receive 15000 rupees scholarship within 1 hour. 10 lakh students already benefited. Join now!,http://educash-scholarship.info,instant.scholarship@educash.info,299 rupees joining fee,15000 rupees,FAKE
NRI Foundation Student Grant Offshore Money,NRI Education Fund SCAM,An NRI donor wants to fund Indian students anonymously. 500000 rupees available. Pay 10000 rupees legal processing fee to receive funds. Bank to bank transfer. No academic criteria. Completely confidential. WhatsApp the coordinator.,,,10000 rupees legal fee,500000 rupees,FAKE
Student Helpline Scholarship Urgent Apply,Student Emergency Fund FAKE,Scholarship for students in financial emergency. Get 40000 rupees within 2 hours. Share bank details and pay 600 rupees verification fee. Our team is available 24x7 on WhatsApp. No documents needed. Immediate disbursement guaranteed!,,student.emergency.fund@gmail.com,600 rupees verification,40000 rupees,FAKE
Diwali Special Student Bonus Scheme,Festival Scholarship Trust FAKE,Celebrating Diwali by giving 25000 rupees to 1000 students! You have been randomly picked. Send 1000 rupees to our account as token amount and receive 25000 rupees back within 24 hours. Festival special limited offer. Pay now!,,diwali.scholarship.bonus@yahoo.com,1000 rupees token amount,25000 rupees,FAKE
CBI Approved Scholarship Claim Now,CBI Education Wing FAKE,Central Bureau of Investigation approved scholarship scheme! Claim 60000 rupees. Provide your Aadhaar PAN bank details to our officer. Pay 2000 rupees stamp duty. This is an official CBI initiative. Do not delay. Our officer will call you.,,,2000 rupees stamp duty,60000 rupees,FAKE
Education Loan Waiver Plus Scholarship,Loan Waiver Education Fund,Your education loan has been waived AND you qualify for additional 30000 rupees scholarship! Pay 3000 rupees administrative fee to process your waiver and scholarship together. Limited time government scheme. Contact our advisor on WhatsApp immediately!,,eduwaiver.scholarship@gmail.com,3000 rupees admin fee,30000 rupees,FAKE
Top Rank Student Cash Reward,Anonymous Educational Trust,Students scoring above 80 percent deserve rewards! Our anonymous trust is giving 45000 rupees cash directly. No interview. Pay 1100 rupees processing to our verified payment gateway. Funds released in 3 hours. Real trust real money act now!,,toprank.cash.reward@hotmail.com,1100 rupees processing,45000 rupees,FAKE
Jio Student Digital Scholarship,Reliance Jio Education FAKE,Jio is offering digital scholarships to students! You have been selected based on your Jio number. Pay 499 rupees to activate your 20000 rupees scholarship. Recharge your digital skills. Exclusive for Jio subscribers. Activate today!,,jio.digital.scholarship@gmail.com,499 rupees activation,20000 rupees,FAKE
State Bank Special Fixed Deposit Scholarship,SBI Scholarship Agent SCAM,SBI is giving scholarships to FD holders and their wards. Our SBI agent can process your application for 1500 rupees convenience charge. Scholarship of 35000 rupees guaranteed. Agent code required. Contact on WhatsApp for fast processing!,,sbi.scholarship.agent@yahoo.in,1500 rupees agent charge,35000 rupees,FAKE
Nanotechnology Research Scholarship,Department of Science Technology,Scholarship for students pursuing research in nanotechnology and advanced materials at recognized research institutions. Selection through research proposal evaluation. Apply on DST portal. No fee involved.,https://dst.gov.in/nanotechnology,nano.scholarship@dst.gov.in,None,28000 per month,REAL
National Talent Search Examination Scholarship,National Council of Educational Research and Training,Scholarship for Class 10 students with exceptional academic talent. Two stage selection through NTSE examination. State level then national level. Application through state governments. No fee.,https://ncert.nic.in/ntse,ntse@ncert.nic.in,Free,1250 to 2000 per month,REAL
Medhavi National Scholarship,Medhavi Foundation,Scholarship for meritorious students from rural areas pursuing graduation. Based on board examination marks and family income. Transparent selection process. No agents. Apply online through official portal. Direct bank transfer.,https://medhavi.org.in,info@medhavi.org.in,No fee,10000 to 50000,REAL
Mahindra All India Talent Scholarship,Mahindra Group Foundation,Scholarship for meritorious students pursuing diploma in technical education. Selection through state level competition. No registration fee. Based entirely on merit. Direct disbursement through cheque or NEFT.,https://mahindra.com/scholarship,scholarship@mahindra.com,None,12000 per year,REAL
IIT Alumni Scholarship Fund,IIT Alumni Association Various,Alumni contributed scholarships for meritorious students from economically weaker backgrounds pursuing engineering. Institute level selection. No external fee. Apply through respective IIT scholarship portals.,https://alumni.iitb.ac.in/scholarship,scholarship@iitb.ac.in,Free,Varies by IIT,REAL
ICICI Foundation Scholarship,ICICI Foundation for Inclusive Growth,Scholarship for meritorious students from low income families pursuing higher education. Income limit 3 lakh per annum. Online application. Merit based shortlisting. No hidden charges.,https://icicifoundation.org/scholarship,scholarship@icicifoundation.org,No fee,20000 per year,REAL
Axis Bank Foundation Scholarship,Axis Bank Foundation,Need based scholarship for students pursuing vocational and technical education. Preference to first generation college goers. Income criteria apply. Transparent online application process.,https://axisbankfoundation.org,scholarship@axisbankfoundation.org,None,15000 per year,REAL
